 bandline  bandconti                   z0                   z1               z_mean 
        g          i                  0.0  0.05204494272824034  0.02602247136412017 
        g          r  0.06628233275215045  0.08880564829161552  0.07754399052188299 
        r          z  0.09579413127166436  0.29227806908448706   0.1940361001780757 
        r          i  0.29682161145429076   0.3897097583182916  0.34326568488629117 
        i          y   0.3891107454914302   0.4146724431951916   0.4018915943433109 
        i          y   0.5514835431597012   0.6870197913837996   0.6192516672717504 
        i          z   0.4215571019838593   0.6870197913837996   0.5542884466838295 
        z          y   0.7055891890165009   0.8529463444243888   0.7792677667204448 
