ws,trans
3600.0,0.003272526909236302
3610.0,-0.0009817580727708906
3620.0,0.0013090107636945208
3630.0,0.004254284982007192
3640.0,0.0026180215273890416
3650.0,0.005890548436625343
3660.0,0.005890548436625343
3670.0,0.003272526909236302
3680.0,0.004581537672930823
3690.0,0.003927032291083562
3700.0,0.004581537672930823
3710.0,0.0026180215273890416
3720.0,-0.0013090107636945208
3730.0,-0.0003272526909236302
3740.0,0.0009817580727708906
3750.0,0.0013090107636945208
3760.0,0.0013090107636945208
3770.0,0.0006545053818472604
3780.0,0.0009817580727708906
3790.0,0.0013090107636945208
3800.0,0.0013090107636945208
3810.0,0.0003272526909236302
3820.0,-0.0003272526909236302
3830.0,0.0003272526909236302
3840.0,0.0006545053818472604
3850.0,0.0009817580727708906
3860.0,0.0013090107636945208
3870.0,0.001636263454618151
3880.0,0.001636263454618151
3890.0,0.0009817580727708906
3900.0,0.001963516145541781
3910.0,0.004581537672930823
3920.0,0.006217801127548973
3930.0,0.010799338800479797
3940.0,0.030761752946821236
3950.0,0.07428636083966406
3960.0,0.16002656586165515
3970.0,0.3144898359776086
3980.0,0.6073809943542576
3990.0,1.1391666171051569
4000.0,1.8741761609196301
4010.0,2.5695881291323444
4020.0,2.9927258584965983
4030.0,3.1517706662854823
4040.0,3.1871139569052342
4050.0,3.1903864838144704
4060.0,3.1844959353778455
4070.0,3.1851504407596924
4080.0,3.202494833378645
4090.0,3.1979132957057144
4100.0,3.200858569924027
4110.0,3.201840327996798
4120.0,3.2064218656697285
4130.0,3.195949779560172
4140.0,3.192022747269089
4150.0,3.1926772526509364
4160.0,3.1943135161055545
4170.0,3.1939862634146303
4180.0,3.1916954945781653
4190.0,3.19660428494202
4200.0,3.197258790323867
4210.0,3.190059231123547
4220.0,3.1926772526509364
4230.0,3.195622526869249
4240.0,3.1979132957057144
4250.0,3.2126396667972776
4260.0,3.1969315376329432
4270.0,3.195949779560172
4280.0,3.1795871450139908
4290.0,3.170096816977206
4300.0,3.1799143977049145
4310.0,3.194640768796478
4320.0,3.210021645269889
4330.0,3.2110034033426595
4340.0,3.2132941721791246
4350.0,3.2116579087245065
4360.0,3.206094612978805
4370.0,3.2028220860695686
4380.0,3.195295274178325
4390.0,3.19660428494202
4400.0,3.201840327996798
4410.0,3.202494833378645
4420.0,3.1962770322510963
4430.0,3.200858569924027
4440.0,3.201840327996798
4450.0,3.1979132957057144
4460.0,3.207076371051576
4470.0,3.2090398871971177
4480.0,3.205440107596958
4490.0,3.2083853818152708
4500.0,3.205767360287881
4510.0,3.2038038441423398
4520.0,3.1926772526509364
4530.0,3.190059231123547
4540.0,3.1962770322510963
4550.0,3.19660428494202
4560.0,3.1992223064694087
4570.0,3.1995495591603325
4580.0,3.2015130753058743
4590.0,3.198240548396638
4600.0,3.200858569924027
4610.0,3.19660428494202
4620.0,3.1926772526509364
4630.0,3.190059231123547
4640.0,3.1848231880687687
4650.0,3.1795871450139908
4660.0,3.1808961557776856
4670.0,3.1844959353778455
4680.0,3.1851504407596924
4690.0,3.1890774730507765
4700.0,3.1890774730507765
4710.0,3.1903864838144704
4720.0,3.1864594515233873
4730.0,3.1848231880687687
4740.0,3.1782781342502964
4750.0,3.1661697846861223
4760.0,3.166497037377046
4770.0,3.16420626854058
4780.0,3.170424069668129
4790.0,3.17860538694122
4800.0,3.178932639632144
4810.0,3.17500560734106
4820.0,3.177623628868449
4830.0,3.175332860031984
4840.0,3.168787806213511
4850.0,3.1714058277409003
4860.0,3.1612609943222676
4870.0,3.158315720103955
4880.0,3.173696596577366
4890.0,3.1720603331227477
4900.0,3.1720603331227477
4910.0,3.1710785750499766
4920.0,3.16060648894042
4930.0,3.1573339620311844
4940.0,3.1524251716673297
4950.0,3.1534069297401004
4960.0,3.1514434135945586
4970.0,3.1484981393762457
4980.0,3.14522561246701
4990.0,3.159951983558573
5000.0,3.168133300831664
5010.0,3.173042091195518
5020.0,3.174023849268289
5030.0,3.1648607739224275
5040.0,3.1566794566493366
5050.0,3.1478436339943987
5060.0,3.1484981393762457
5070.0,3.1520979189764056
5080.0,3.163551763158733
5090.0,3.173042091195518
5100.0,3.172387585813671
5110.0,3.170424069668129
5120.0,3.1661697846861223
5130.0,3.165188026613351
5140.0,3.163551763158733
5150.0,3.16060648894042
5160.0,3.1586429727948784
5170.0,3.1615882470131913
5180.0,3.1612609943222676
5190.0,3.1556976985765663
5200.0,3.1556976985765663
5210.0,3.158315720103955
5220.0,3.1609337416313443
5230.0,3.1576612147221077
5240.0,3.1530796770491767
5250.0,3.1426075909396207
5260.0,3.1481708866853224
5270.0,3.150134402830864
5280.0,3.1426075909396207
5290.0,3.150134402830864
5300.0,3.145880117848857
5310.0,3.139007811339461
5320.0,3.139662316721308
5330.0,3.140644074794079
5340.0,3.1471891286125517
5350.0,3.163551763158733
5360.0,3.1573339620311844
5370.0,3.155370445885642
5380.0,3.1609337416313443
5390.0,3.1596247308676495
5400.0,3.1517706662854823
5410.0,3.131808252139141
5420.0,3.073557273154735
5430.0,2.9482194925309844
5440.0,2.7125975550659707
5450.0,2.374218272650937
5460.0,1.9550075755777667
5470.0,1.5073258943942407
5480.0,1.0940057457576957
5490.0,0.7474451460695714
5500.0,0.48106145565773634
5510.0,0.2870006099400237
5520.0,0.15969931317073152
5530.0,0.0844311942582966
5540.0,0.04483361865653734
5550.0,0.024871204510195893
5560.0,0.015380876473410618
5570.0,0.010472086109556166
5580.0,0.007526811891243494
5590.0,0.005890548436625343
5600.0,0.004908790363854452
5610.0,0.003272526909236302
5620.0,0.0022907688364654116
5630.0,0.001636263454618151
5640.0,0.0013090107636945208
5650.0,0.0009817580727708906
5660.0,0.0009817580727708906
5670.0,0.0009817580727708906
5680.0,0.0009817580727708906
5690.0,0.0009817580727708906
5700.0,0.0006545053818472604
5710.0,0.0009817580727708906
5720.0,0.0009817580727708906
5730.0,0.0009817580727708906
5740.0,0.0009817580727708906
5750.0,0.0009817580727708906
5760.0,0.0013090107636945208
5770.0,0.0003272526909236302
5780.0,0.0003272526909236302
5790.0,0.0009817580727708906
5800.0,0.0006545053818472604
5810.0,0.0009817580727708906
5820.0,0.0013090107636945208
5830.0,0.0006545053818472604
5840.0,0.0003272526909236302
5850.0,0.0006545053818472604
5860.0,0.0006545053818472604
5870.0,0.0003272526909236302
5880.0,0.0003272526909236302
5890.0,0.0009817580727708906
5900.0,0.0006545053818472604
5910.0,0.0003272526909236302
5920.0,0.0006545053818472604
5930.0,0.0006545053818472604
5940.0,0.0009817580727708906
5950.0,0.0006545053818472604
5960.0,0.0009817580727708906
5970.0,0.0009817580727708906
5980.0,0.0003272526909236302
5990.0,0.0003272526909236302
6000.0,0.0003272526909236302
