ws,trans
2980.0,0.0
3005.0,0.005861292593181133
3030.0,0.02930646575987339
3055.0,0.07619680464267731
3080.0,0.15239360928535461
3105.0,0.30478721857070923
3130.0,0.545100212097168
3155.0,0.9436681866645813
3180.0,1.4067102670669556
3205.0,1.8931975364685059
3230.0,2.373823642730713
3255.0,2.8427271842956543
3280.0,3.2881851196289062
3305.0,3.716059684753418
3330.0,4.102904796600342
3355.0,4.4311370849609375
3380.0,4.706618309020996
3405.0,4.970376014709473
3430.0,5.175521373748779
3455.0,5.374805450439453
3480.0,5.6209797859191895
3505.0,5.867154121398926
3530.0,6.0312700271606445
3555.0,6.119189739227295
3580.0,6.17194128036499
3605.0,6.230554103851318
3630.0,6.30088996887207
3655.0,6.35950231552124
3680.0,6.353641510009766
3705.0,6.236415386199951
3730.0,6.0019636154174805
3755.0,5.662009239196777
3780.0,5.1989665031433105
3805.0,4.612837314605713
3830.0,3.938788652420044
3855.0,3.2178497314453125
3880.0,2.4207139015197754
3905.0,1.5708264112472534
3930.0,0.8498874306678772
3955.0,0.439596951007843
3980.0,0.24617429077625275
4005.0,0.12894843518733978
4030.0,0.05861293151974678
4055.0,0.03516775742173195
4080.0,0.023445170372724533
4105.0,0.011722585186362267
4130.0,0.0
