 bandline  bandconti                   z0                   z1               z_mean 
        g          i                  0.0  0.05538573209602626  0.02769286604801313 
        g          r  0.06658768279016658  0.09020334488762516  0.07839551383889587 
        r          z  0.09529775950825514  0.29273363127100316  0.19401569538962915 
        r          i  0.29163066080801725   0.3911074549143012  0.34136905786115923 
        i          y  0.40677116985985706   0.4148242972573637   0.4107977335586104 
        i          y   0.6400350541843642   0.6828267015957703   0.6614308778900673 
        i          z  0.42583200251608444   0.6828267015957703   0.5543293520559274 
        z          y   0.7224781993812868   0.8579381179815664   0.7902081586814266 
